    ProjetBD ProtocolesCrypto Fiabilite Anglais ProjetJAVA J2EE UrbanismedesSI   
   11 9 10 8.47 14.5 14 13   
   12 13 9 7.4 14.5 10 10   
   13.5 10 9 8.77 10.5 15 17   
   14.5 14 13 10.8 13.5 11 14   
   14.5 13 12 11.03 14 11 14   
   14 12 9.5 8.15 13.5 15 17   
   16 13 9 15.58 15.5 11 10   
   16 8 10 12.95 7.5 14.5 17   
   13 6 9.5 13.43 13.5 11 14.5   
   11 9 10.5 10.03 16 14.5 17   
   12 7 10 9.56 12.5 10 17.5   
   12 8 9 9.67 12.5 10 13   
   18.5 17 15.5 12.13 15.5 15 17.5   
   11 9 7.5 12.58 14.5 13 17   
   13 11 9 15.5 11 10.5 9   
   10 13 8.5 6.63 9 4 14   
   16 15 13.5 9.52 7 12 14   
   17.5 16 12 15.65 16 17 17.5   
   18.5 15 6 9.33 14.5 13 17.5   
   13 12 3.5 9.87 10.5 11 15   
   16 7 9 7.8 3 11 14.5   
   12 15 10 9.47 9.5 10 10   
   13 11 8 6.5 11 10.5 9   
   18 14 8 8.92 12 15 15   
   16 14 10 7.35 15 12 14   
   13 10 11 11.5 13.5 13 14.5   
   18 17 11 13.9 15 17 17.5   
   14 12 13 10.2 3.5 13 17   
   11 12 7 10.8 4 7 13   
   16 11 12.5 10.1 15 11 14   
   10.5 11 8.5 6.58 6 4 15   
   18.5 14 6 7.2 8 13 17.5   
            
